UNIPROT NAME	USER ID
Mitochondrion	Mitochondrion
Plastid	Plastid
Cytoplasm	Cytoplasm
Golgi apparatus membrane	Golgi_apparatus_membrane
Mitochondrion inner membrane	Mitochondrion_inner_membrane
Mitochondrion matrix	Mitochondrion_matrix
Membrane	Membrane
Mitochondrion membrane	Mitochondrion_membrane
Cell membrane	Cell_membrane
Secreted	Secreted
Peroxisome	Peroxisome
Endoplasmic reticulum membrane	Endoplasmic_reticulum_membrane
Nucleus	Nucleus
Vacuole membrane	Vacuole_membrane
Vacuole	Vacuole
Isoform 1	Isoform_1
Mitochondrion outer membrane	Mitochondrion_outer_membrane
Microsome membrane	Microsome_membrane
Golgi apparatus	Golgi_apparatus
Endosome membrane	Endosome_membrane
Glyoxysome	Glyoxysome
Endoplasmic reticulum	Endoplasmic_reticulum
Peroxisome membrane	Peroxisome_membrane
