Metabolite	Concentration
M_sor	0.0
M_met	0.0
M_mn2	10.0
M_act	0.0
M_val	0.0
M_xth	0.0
M_ino	0.0
M_ca2	10.0
M_cys	0.0
M_ura	0.0
M_cell	0.0
M_inos	0.0
M_rib	0.0
M_lys	0.0
M_aloi	0.0
M_cit	0.0
M_fru	0.0
M_k	10.0
M_ala	0.0
M_leu	0.0
M_asp	0.0
M_sucr	0.0
M_hex	10.0
M_asn	0.0
M_ado	0.0
M_mtl	0.0
M_p	10.0
M_ade	0.0
M_ribf	0.0
M_ile	0.0
M_dguo	0.0
M_naglcn	0.0
M_guo	0.0
M_nh3	10.0
M_dado	0.0
M_lct	0.0
M_phe	0.0
M_uri	0.0
M_trp	0.0
M_glcn	0.0
M_cu2	10.0
M_tre	0.0
M_cti	0.0
M_cto	0.0
M_aaacp	0.0
M_urt	0.0
M_this	0.0
M_pyr	0.0
M_glc	10.0
M_gln	0.0
M_glo	0.0
M_gua	0.0
M_tyr	0.0
M_glu	0.0
M_gly	0.0
M_malt	0.0
M_thr	0.0
M_succ	0.0
M_bio	0.0
M_pan	0.0
M_nia	0.0
M_thi	0.0
M_arg	0.0
M_ara	0.0
M_o2	10.0
M_fol	0.0
M_akg	0.0
M_na	10.0
M_zn2	10.0
M_no2	0.0
M_no3	0.0
M_lic	0.0
M_hemeb	0.0
M_his	0.0
M_fe3	10.0
M_co2	0.0
M_hxtx	0.0
M_ser	0.0
M_thy	0.0
M_fum	0.0
M_gnt	0.0
M_ac	0.0
M_pro	0.0
M_sul	10.0
M_namur	0.0
M_mg2	10.0
M_form	0.0
M_man	0.0
M_mal	0.0
M_h2o	0.0
